"relationship_id","account_id","relationship_type","share_percentage","nominee_name","nominee_dob","guardian_name","guardian_dob"
"REL00000001","ACC00000001","NOMINEE","100","Nisha Vasa","1991-09-03","","1955-04-29"
"REL00000002","ACC00000003","NOMINEE","100","Pooja Sharma","2007-06-18","Pooja Patel","1971-03-23"
"REL00000003","ACC00000004","SPOUSE","100","Pooja Patel","1965-02-17","","1994-10-14"
"REL00000004","ACC00000005","PARENT","100","Aryan Kumar","1954-03-22","",""
"REL00000005","ACC00000006","CHILD","100","Pooja Singh","1992-05-10","","1995-07-23"
"REL00000006","ACC00000007","SPOUSE","100","Asha Singh","1953-12-29","Vikram Sharma","1952-11-03"
"REL00000007","ACC00000008","SPOUSE","100","Vikram Kumar","1979-01-23","Nisha Verma","1992-06-17"
"REL00000008","ACC00000009","SPOUSE","100","Tushar Singh","1982-11-27","Nisha Joshi","1973-05-08"
"REL00000009","ACC00000010","SPOUSE","100","Rajesh Kumar","1969-06-01","Rajesh Wadhwa","1995-03-02"
"REL00000010","ACC00000011","CHILD","100","Vikram Patel","1984-02-14","Tushar Wadhwa","1984-03-05"
"REL00000011","ACC00000012","PARENT","100","Aryan Sharma","1972-08-07","","1988-07-01"
"REL00000012","ACC00000013","NOMINEE","100","Nisha Wadhwa","1954-08-26","",""
"REL00000013","ACC00000014","SPOUSE","100","Rajesh Singh","1997-03-23","Kavya Wadhwa","1967-06-05"
"REL00000014","ACC00000015","NOMINEE","100","Rajesh Singh","2004-07-31","Pooja Singh","1969-07-01"
"REL00000015","ACC00000016","CHILD","100","Rajesh Verma","1982-09-04","","1975-11-16"
"REL00000016","ACC00000017","NOMINEE","100","Kavya Sharma","1960-07-03","Pooja Singh",""
"REL00000017","ACC00000018","CHILD","100","Aryan Singh","1973-03-26","",""
"REL00000018","ACC00000019","SPOUSE","100","Rajesh Wadhwa","1958-01-02","Nisha Sharma",""
"REL00000019","ACC00000020","CHILD","100","Nisha Patel","2014-03-02","","1983-03-16"
"REL00000020","ACC00000022","SPOUSE","100","Vikram Sharma","1965-02-17","Asha Joshi","1981-01-26"
"REL00000021","ACC00000023","CHILD","100","Asha Sharma","1974-03-20","Rajesh Sharma",""
"REL00000022","ACC00000024","CHILD","100","Aryan Singh","1988-11-25","Vikram Vasa",""
"REL00000023","ACC00000025","NOMINEE","100","Vikram Kumar","1959-07-16","Nisha Singh","1954-02-08"
"REL00000024","ACC00000026","SPOUSE","100","Aryan Patel","2002-12-04","Vikram Joshi",""
"REL00000025","ACC00000027","CHILD","100","Asha Sharma","2000-04-09","Kavya Verma","1974-08-05"
"REL00000026","ACC00000028","PARENT","100","Tushar Joshi","2001-04-29","Nisha Patel","1989-05-11"
"REL00000027","ACC00000029","NOMINEE","100","Rajesh Sharma","1973-08-15","Aryan Kumar",""
"REL00000028","ACC00000032","CHILD","100","Asha Vasa","1996-02-25","","1981-01-07"
"REL00000029","ACC00000033","NOMINEE","100","Pooja Singh","2001-06-20","",""
"REL00000030","ACC00000034","SPOUSE","100","Aryan Verma","1969-06-06","",""
"REL00000031","ACC00000036","SPOUSE","100","Asha Kumar","1980-04-05","Asha Vasa",""
"REL00000032","ACC00000037","CHILD","100","Kavya Wadhwa","1958-02-02","Kavya Wadhwa","1979-08-20"
"REL00000033","ACC00000038","NOMINEE","100","Pooja Verma","1979-01-23","Rajesh Wadhwa",""
"REL00000034","ACC00000039","CHILD","100","Asha Patel","1957-02-02","Tushar Vasa",""
"REL00000035","ACC00000040","SPOUSE","100","Pooja Kumar","2006-12-01","",""
"REL00000036","ACC00000041","PARENT","100","Rajesh Verma","2002-01-23","",""
"REL00000037","ACC00000043","PARENT","100","Asha Vasa","2006-07-18","Tushar Vasa","1966-06-15"
"REL00000038","ACC00000044","CHILD","100","Pooja Verma","1958-08-24","",""
"REL00000039","ACC00000045","CHILD","100","Nisha Vasa","2012-11-29","","1980-04-22"
"REL00000040","ACC00000046","SPOUSE","100","Asha Sharma","2012-05-02","",""
"REL00000041","ACC00000047","NOMINEE","100","Aryan Sharma","1960-08-31","",""
"REL00000042","ACC00000048","PARENT","100","Vikram Patel","1975-06-30","Asha Vasa",""
"REL00000043","ACC00000050","PARENT","100","Vikram Joshi","2002-02-24","Aryan Wadhwa",""
"REL00000044","ACC00000051","PARENT","100","Tushar Patel","2004-09-23","",""
"REL00000045","ACC00000053","SPOUSE","100","Aryan Vasa","2015-05-05","","1966-01-20"
"REL00000046","ACC00000054","PARENT","100","Asha Wadhwa","1973-03-20","",""
"REL00000047","ACC00000055","PARENT","100","Asha Vasa","1971-02-04","Aryan Kumar","1958-04-02"
"REL00000048","ACC00000056","SPOUSE","100","Nisha Patel","1991-07-01","Tushar Verma",""
"REL00000049","ACC00000057","PARENT","100","Vikram Sharma","1965-01-15","",""
"REL00000050","ACC00000058","PARENT","100","Nisha Wadhwa","1957-11-01","Kavya Vasa",""
"REL00000051","ACC00000059","SPOUSE","100","Vikram Sharma","1960-11-29","","1956-07-15"
"REL00000052","ACC00000061","PARENT","100","Aryan Verma","1975-09-06","",""
"REL00000053","ACC00000062","CHILD","100","Pooja Sharma","1996-07-22","Kavya Joshi",""
"REL00000054","ACC00000063","SPOUSE","100","Rajesh Vasa","1979-09-27","Nisha Kumar",""
"REL00000055","ACC00000064","PARENT","100","Kavya Vasa","1999-05-10","Vikram Verma","1991-08-19"
"REL00000056","ACC00000065","PARENT","100","Kavya Wadhwa","1971-03-21","Nisha Verma",""
"REL00000057","ACC00000066","SPOUSE","100","Tushar Patel","2000-07-21","Aryan Patel","1988-09-03"
"REL00000058","ACC00000067","SPOUSE","100","Pooja Patel","1961-10-25","Pooja Verma","1962-04-08"
"REL00000059","ACC00000068","CHILD","100","Aryan Kumar","2004-01-21","",""
"REL00000060","ACC00000069","SPOUSE","100","Asha Sharma","1990-05-20","Aryan Verma","1955-02-22"
"REL00000061","ACC00000070","CHILD","100","Nisha Wadhwa","1956-08-06","Kavya Patel","1966-03-22"
"REL00000062","ACC00000072","SPOUSE","100","Pooja Singh","1998-07-08","",""
"REL00000063","ACC00000074","CHILD","100","Vikram Vasa","1998-02-24","Rajesh Patel","1995-01-06"
"REL00000064","ACC00000075","NOMINEE","100","Nisha Patel","1953-12-31","",""
"REL00000065","ACC00000076","NOMINEE","100","Kavya Singh","1954-12-26","",""
"REL00000066","ACC00000077","CHILD","100","Rajesh Kumar","1976-09-13","","1955-07-31"
"REL00000067","ACC00000079","NOMINEE","100","Nisha Wadhwa","1999-09-05","","1963-06-29"
"REL00000068","ACC00000080","CHILD","100","Kavya Sharma","2004-10-12","",""
"REL00000069","ACC00000081","CHILD","100","Kavya Singh","2012-11-13","",""
"REL00000070","ACC00000082","CHILD","100","Rajesh Joshi","1984-04-29","Asha Patel",""
"REL00000071","ACC00000083","SPOUSE","100","Rajesh Sharma","1980-04-04","",""
"REL00000072","ACC00000084","NOMINEE","100","Tushar Sharma","1960-12-25","","1971-04-15"
"REL00000073","ACC00000085","NOMINEE","100","Aryan Patel","1961-05-24","Tushar Patel","1985-07-12"
"REL00000074","ACC00000086","CHILD","100","Vikram Verma","1991-01-29","",""
"REL00000075","ACC00000087","NOMINEE","100","Tushar Joshi","1999-03-07","Kavya Vasa",""
"REL00000076","ACC00000088","PARENT","100","Tushar Kumar","1959-12-23","Nisha Vasa","1957-08-31"
"REL00000077","ACC00000089","CHILD","100","Kavya Vasa","2002-08-28","",""
"REL00000078","ACC00000091","CHILD","100","Nisha Patel","2010-02-17","","1986-04-03"
"REL00000079","ACC00000092","NOMINEE","100","Kavya Vasa","1988-01-25","Kavya Vasa",""
"REL00000080","ACC00000093","CHILD","100","Tushar Singh","1971-05-05","Vikram Patel",""
"REL00000081","ACC00000094","SPOUSE","100","Rajesh Joshi","1957-03-05","Pooja Joshi",""
"REL00000082","ACC00000095","NOMINEE","100","Asha Vasa","1958-04-28","",""
"REL00000083","ACC00000096","NOMINEE","100","Pooja Kumar","1981-02-04","Aryan Kumar","1953-12-26"
"REL00000084","ACC00000097","SPOUSE","100","Asha Kumar","1958-07-03","Pooja Kumar","1990-01-28"
"REL00000085","ACC00000099","PARENT","100","Tushar Singh","1965-07-22","Pooja Vasa","1958-04-10"
"REL00000086","ACC00000101","SPOUSE","100","Tushar Singh","1986-10-08","Rajesh Sharma",""
"REL00000087","ACC00000102","SPOUSE","100","Aryan Sharma","1986-12-29","Asha Wadhwa","1982-10-02"
"REL00000088","ACC00000103","PARENT","100","Pooja Sharma","1996-07-30","","1967-09-20"
"REL00000089","ACC00000104","CHILD","100","Pooja Verma","1973-05-23","Asha Vasa",""
"REL00000090","ACC00000105","CHILD","100","Tushar Vasa","2003-11-22","Kavya Patel","1987-08-27"
"REL00000091","ACC00000106","CHILD","100","Vikram Joshi","1997-05-13","","1971-09-21"
"REL00000092","ACC00000107","SPOUSE","100","Vikram Vasa","1963-07-22","","1983-05-31"
"REL00000093","ACC00000108","SPOUSE","100","Asha Verma","1956-12-31","",""
"REL00000094","ACC00000109","SPOUSE","100","Vikram Sharma","1965-09-09","","1953-01-20"
"REL00000095","ACC00000110","CHILD","100","Rajesh Wadhwa","1995-08-30","Aryan Patel",""
"REL00000096","ACC00000111","CHILD","100","Tushar Singh","1975-08-31","Pooja Joshi","1994-09-04"
"REL00000097","ACC00000112","NOMINEE","100","Pooja Patel","1982-06-29","Rajesh Patel",""
"REL00000098","ACC00000113","PARENT","100","Kavya Joshi","1985-06-30","",""
"REL00000099","ACC00000114","SPOUSE","100","Asha Joshi","1970-04-16","","1986-12-23"
"REL00000100","ACC00000115","CHILD","100","Tushar Verma","2005-11-01","Vikram Kumar","1977-11-12"
"REL00000101","ACC00000116","SPOUSE","100","Kavya Joshi","1958-05-20","Asha Joshi","1995-06-17"
"REL00000102","ACC00000117","NOMINEE","100","Asha Singh","2012-12-07","Nisha Wadhwa","1989-11-16"
"REL00000103","ACC00000118","NOMINEE","100","Rajesh Verma","1957-01-30","Vikram Verma","1953-12-22"
