"contact_id","cif","mobile_number","email_id","alternate_mobile","landline_number","is_primary","verified_flag","created_at","updated_at"
"CONT00000001","CIF00000001","6026224160","user3972@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000002","CIF00000002","9736031885","user3347@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000003","CIF00000003","8432330583","user7566@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000004","CIF00000004","6298867122","user3324@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000005","CIF00000005","9182437887","user1502@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000006","CIF00000006","6394096254","user9691@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000007","CIF00000007","6923988689","user7163@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000008","CIF00000008","7803166816","user8432@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000009","CIF00000009","7464137110","user3578@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000010","CIF00000010","7589365925","user6105@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000011","CIF00000011","9099231080","user6314@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000012","CIF00000012","9336483568","user2391@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000013","CIF00000013","9793925798","user1861@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000014","CIF00000014","6668210614","user3579@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000015","CIF00000015","9240277427","user1815@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000016","CIF00000016","8894673596","user2336@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000017","CIF00000017","7168672809","user8259@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000018","CIF00000018","8843005049","user7947@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000019","CIF00000019","8085901151","user8242@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000020","CIF00000020","7778905619","user5475@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000021","CIF00000021","6925861658","user9394@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000022","CIF00000022","6488842470","user6655@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000023","CIF00000023","7846465000","user2816@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000024","CIF00000024","7216534332","user8972@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000025","CIF00000025","8263164755","user6053@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000026","CIF00000026","6195066088","user4612@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000027","CIF00000027","7697643337","user1897@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
