"cif","customer_type","first_name","middle_name","last_name","date_of_birth","gender","marital_status","nationality","occupation_code","segment_code","customer_status","customer_since_date","branch_code","created_at","updated_at"
"CIF00000001","INDIVIDUAL","Sarika","","Gupta","1996-06-20","GEN_M","MS_MARRIED","NAT_IND","OCC_HOME","SEG_REG","CUST_ACTIVE","2025-05-17","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000002","INDIVIDUAL","Priya","","Patel","1957-07-13","GEN_M","MS_SINGLE","NAT_IND","OCC_SAL","SEG_REG","CUST_ACTIVE","2025-03-14","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000003","INDIVIDUAL","Vivaan","","Vasa","2004-01-29","GEN_O","MS_UNDISC","NAT_IND","OCC_BUS","SEG_PEP","CUST_ACTIVE","2023-11-15","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000004","INDIVIDUAL","Sarika","","Patel","2005-11-16","GEN_F","MS_DIV","NAT_IND","OCC_SAL","SEG_HNI","CUST_ACTIVE","2024-12-30","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000005","INDIVIDUAL","Dhruv","","Sharma","1998-02-19","GEN_F","MS_DIV","NAT_IND","OCC_HOME","SEG_HNI","CUST_ACTIVE","2024-05-18","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000006","INDIVIDUAL","Dhruv","","Iyer","1995-04-05","GEN_F","MS_DIV","NAT_IND","OCC_HOME","SEG_REG","CUST_ACTIVE","2024-05-20","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000007","INDIVIDUAL","Dhruv","","Desai","1986-01-05","GEN_M","MS_SINGLE","NAT_US","OCC_BUS","SEG_HNI","CUST_ACTIVE","2024-08-19","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000008","INDIVIDUAL","Ravi","","Sharma","1973-09-23","GEN_M","MS_DIV","NAT_IND","OCC_HOME","SEG_PEP","CUST_ACTIVE","2024-12-27","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000009","INDIVIDUAL","Aarav","","Verma","1958-07-16","GEN_F","MS_DIV","NAT_IND","OCC_HOME","SEG_HNI","CUST_ACTIVE","2024-10-04","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000010","INDIVIDUAL","Pooja","","Sharma","1985-11-28","GEN_F","MS_DIV","NAT_IND","OCC_SAL","SEG_PEP","CUST_ACTIVE","2025-05-10","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000011","INDIVIDUAL","Neha","","Verma","1978-03-24","GEN_F","MS_UNDISC","NAT_IND","OCC_BUS","SEG_REG","CUST_ACTIVE","2024-11-06","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000012","INDIVIDUAL","Arjun","","Vasa","1956-02-05","GEN_O","MS_UNDISC","NAT_US","OCC_BUS","SEG_REG","CUST_ACTIVE","2023-12-08","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000013","INDIVIDUAL","Dhruv","","Reddy","1960-09-29","GEN_M","MS_SINGLE","NAT_IND","OCC_HOME","SEG_REG","CUST_ACTIVE","2024-01-23","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000014","INDIVIDUAL","Dhruv","","Patel","1968-08-01","GEN_F","MS_UNDISC","NAT_US","OCC_HOME","SEG_REG","CUST_ACTIVE","2023-10-10","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000015","INDIVIDUAL","Nisha","","Iyer","1996-03-07","GEN_F","MS_DIV","NAT_IND","OCC_BUS","SEG_HNI","CUST_ACTIVE","2023-07-14","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000016","INDIVIDUAL","Sarika","","Kulkarni","1965-10-02","GEN_O","MS_DIV","NAT_IND","OCC_HOME","SEG_REG","CUST_ACTIVE","2025-06-08","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
